ID	noGenes	noSamples	Species	Tissues	GO.BP.ID	GO.BP.p	GO.BP.adj.p	GO.CC.ID	GO.CC.p	GO.CC.adj.p	GO.MF.ID	GO.MF.p	GO.MF.adj.p	KEGG.ID	KEGG.p	KEGG.adj.p	CHR	CHR.p	CHR.adj.p	Genes	Samples
22	50	12	mdo	br;cb;ht;kd;lv;ts	GO:0000245	0,002057169420691	0,072468610279943	GO:0030688	0,008545269582909	0,092805684408197	GO:0000225	0,008472781190426	0,135238842670527	5012	0,000146357494779	0,008993545222595	MT	1,50E-05	0,008897186794294	ENSG00000179630;ENSG00000170634;ENSG00000144647;ENSG00000166558;ENSG00000172728;ENSG00000071189;ENSG00000111785;ENSG00000106105;ENSG00000197429;ENSG00000225830;ENSG00000198727;ENSG00000150776;ENSG00000104524;ENSG00000163527;ENSG00000114956;ENSG00000164291;ENSG00000125703;ENSG00000196408;ENSG00000164168;ENSG00000113141;ENSG00000061936;ENSG00000082175;ENSG00000108669;ENSG00000132388;ENSG00000072133;ENSG00000185527;ENSG00000079785;ENSG00000065548;ENSG00000132773;ENSG00000108474;ENSG00000174442;ENSG00000037474;ENSG00000243943;ENSG00000102921;ENSG00000162961;ENSG00000111665;ENSG00000152219;ENSG00000115364;ENSG00000058668;ENSG00000141562;ENSG00000151500;ENSG00000198763;ENSG00000120800;ENSG00000164576;ENSG00000106605;ENSG00000151353;ENSG00000087111;ENSG00000211460;ENSG00000167196;ENSG00000198804	mdo_br_m_ca1;mdo_br_f_ca1;mdo_cb_m_ca1;mdo_cb_f_ca1;mdo_ht_m_ca1;mdo_ht_f_ca1;mdo_kd_m_ca1;mdo_kd_f_ca1;mdo_lv_m_ca1;mdo_lv_f_ca1;mdo_ts_m2_ca1;mdo_ts_m1_ca1
23	21	5	mmu;oan	ts	GO:0007126	6,17E-07	0,000125526889974	GO:0033593	0,003458799593082	0,04756596256843	GO:0003677	0,001514296201006	0,049228333221194	3440	4,00E-05	0,003212563810996	9	0,06233293817966	0,982274581404375	ENSG00000064218;ENSG00000131951;ENSG00000083782;ENSG00000197275;ENSG00000095627;ENSG00000165105;ENSG00000183621;ENSG00000196092;ENSG00000165078;ENSG00000198807;ENSG00000087916;ENSG00000165383;ENSG00000118193;ENSG00000124721;ENSG00000198912;ENSG00000185480;ENSG00000139618;ENSG00000146857;ENSG00000179021;ENSG00000054796;ENSG00000136122	mmu_ts_m1_ca1;mmu_ts_m2_ca1;oan_ts_m3_ca1;oan_ts_m1_ca1;oan_ts_m2_ca1
24	30	13	oan	br;cb;ht;kd;lv;ts	GO:0006390	0,004527960153951	0,118979240298031	GO:0001652	0,005493387589013	0,066920270986788	GO:0003676	0,000195977631108	0,010977359680479	4962	0,002073978930268	0,061300959740143	15	0,101505643050442	0,999927259622818	ENSG00000132912;ENSG00000163964;ENSG00000198042;ENSG00000165283;ENSG00000112308;ENSG00000205250;ENSG00000196116;ENSG00000166569;ENSG00000168564;ENSG00000102243;ENSG00000047188;ENSG00000121486;ENSG00000176393;ENSG00000131725;ENSG00000021776;ENSG00000130640;ENSG00000198522;ENSG00000163312;ENSG00000103769;ENSG00000100650;ENSG00000092470;ENSG00000136982;ENSG00000129673;ENSG00000101457;ENSG00000122218;ENSG00000164366;ENSG00000132664;ENSG00000176209;ENSG00000065183;ENSG00000183093	oan_br_m_ca1;oan_br_f_ca1;oan_cb_m_ca1;oan_cb_f_ca1;oan_ht_m_ca1;oan_ht_f_ca1;oan_kd_m_ca1;oan_kd_f_ca1;oan_lv_m_ca1;oan_lv_f_ca1;oan_ts_m3_ca1;oan_ts_m1_ca1;oan_ts_m2_ca1
25	11	7	hsa;ptr;ppa;ggo;mml	ts	GO:0030816	0,012618134061612	0,206448832632076	GO:0016021	0,006961614326182	0,079696799026641	GO:0004978	0,001694556238085	0,053179452271709	4740	0,012029966811123	0,183634606340386	15	0,058436631370495	0,975045017952667	ENSG00000148602;ENSG00000137975;ENSG00000136492;ENSG00000005189;ENSG00000185231;ENSG00000121634;ENSG00000166450;ENSG00000111305;ENSG00000137707;ENSG00000154227;ENSG00000188133	hsa_ts_m2_ca1;hsa_ts_m1_ca1;ptr_ts_m_ca1;ppa_ts_m_ca1;ggo_ts_m_ca1;mml_ts_m1_ca1;mml_ts_m2_ca1
26	22	4	mdo;gga	ts	GO:0032202	0,004075164138556	0,111818583229553	GO:0044427	0,000897704630026	0,016665165749062	GO:0016859	0,000740061083227	0,029890671655624	830	0,012019099759456	0,1836142756985	19	0,066338325509198	0,989713624290224	ENSG00000137074;ENSG00000129810;ENSG00000123473;ENSG00000140950;ENSG00000116745;ENSG00000118513;ENSG00000129173;ENSG00000109101;ENSG00000196624;ENSG00000183671;ENSG00000186185;ENSG00000186638;ENSG00000138750;ENSG00000164362;ENSG00000068097;ENSG00000110060;ENSG00000167769;ENSG00000034063;ENSG00000106080;ENSG00000160224;ENSG00000165164;ENSG00000188316	mdo_ts_m2_ca1;mdo_ts_m1_ca1;gga_ts_m1_ca1;gga_ts_m2_ca1
27	21	6	mdo;oan;gga	ht	GO:0006936	0,00018598525954	0,012601145018945	GO:0030016	1,03E-05	0,000415149893063	GO:0001599	0,004236390595213	0,094439372137707	4971	0,000103206138888	0,006760540415256	12	0,018161559177098	0,74190952459753	ENSG00000151617;ENSG00000158022;ENSG00000147573;ENSG00000130700;ENSG00000089225;ENSG00000140795;ENSG00000124091;ENSG00000127325;ENSG00000118194;ENSG00000186628;ENSG00000124743;ENSG00000123700;ENSG00000183386;ENSG00000164532;ENSG00000120729;ENSG00000198812;ENSG00000130957;ENSG00000205678;ENSG00000101892;ENSG00000184752;ENSG00000124701	mdo_ht_m_ca1;mdo_ht_f_ca1;oan_ht_m_ca1;oan_ht_f_ca1;gga_ht_m_ca1;gga_ht_f_ca1
28	31	9	hsa;ptr;ppa;ggo;ppy;mml	ht	GO:0006941	0,000115777187565	0,008745270248775	GO:0030017	1,45E-08	1,47E-06	GO:0008307	0,002747848647138	0,072346087216555	5410	0,000411785359629	0,019960024061302	1	0,054102891173113	0,955402882015061	ENSG00000170807;ENSG00000129170;ENSG00000198842;ENSG00000154415;ENSG00000165192;ENSG00000114738;ENSG00000133065;ENSG00000172399;ENSG00000239474;ENSG00000175946;ENSG00000102683;ENSG00000174502;ENSG00000163833;ENSG00000135842;ENSG00000137878;ENSG00000148677;ENSG00000164309;ENSG00000134571;ENSG00000124743;ENSG00000142661;ENSG00000164532;ENSG00000138347;ENSG00000122477;ENSG00000091436;ENSG00000203740;ENSG00000140416;ENSG00000156471;ENSG00000205678;ENSG00000156427;ENSG00000170417;ENSG00000109445	hsa_ht_m1_ca1;hsa_ht_m2_ca1;ptr_ht_m_ca1;ptr_ht_f_ca1;ppa_ht_f_ca1;ggo_ht_f_ca1;ppy_ht_m_ca1;ppy_ht_f_ca1;mml_ht_f_ca1
29	11	11	hsa;ptr;ppa;ggo;ppy;mml	lv	GO:0032924	0,000205635797009	0,013668556949542	GO:0009897	0,005057072183533	0,062845636597241	GO:0004896	0,00159048543163	0,050956165309248	4610	0,003089622772044	0,078460069648762	21	0,12406321623844	0,999927259622818	ENSG00000100385;ENSG00000124120;ENSG00000102967;ENSG00000021852;ENSG00000115590;ENSG00000080618;ENSG00000159261;ENSG00000128802;ENSG00000134363;ENSG00000169903;ENSG00000144481	hsa_lv_m1_ca1;hsa_lv_m2_ca1;ptr_lv_m_ca1;ppa_lv_m_ca1;ppa_lv_f_ca1;ggo_lv_m_ca1;ggo_lv_f_ca1;ppy_lv_m_ca1;ppy_lv_f_ca1;mml_lv_m_ca1;mml_lv_f_ca1
30	11	10	hsa;ptr;ppa;ggo;ppy;mml	lv	GO:0042060	4,36E-05	0,004053839317484	GO:0005615	7,24E-05	0,002154709159955	GO:0019838	0,000188627187606	0,010650820714633	4610	9,43E-05	0,006359334336506	21	0,12406321623844	0,999927259622818	ENSG00000100385;ENSG00000102967;ENSG00000021852;ENSG00000171557;ENSG00000115590;ENSG00000080618;ENSG00000159261;ENSG00000128802;ENSG00000146678;ENSG00000134363;ENSG00000169903	hsa_lv_m1_ca1;ptr_lv_m_ca1;ppa_lv_m_ca1;ppa_lv_f_ca1;ggo_lv_m_ca1;ggo_lv_f_ca1;ppy_lv_m_ca1;ppy_lv_f_ca1;mml_lv_m_ca1;mml_lv_f_ca1
31	18	7	mmu;oan;gga	ts	GO:0000279	0,000240826953674	0,015475757095731	GO:0009434	0,004065449640221	0,053802943260713	GO:0003777	0,00247685371843	0,068142179830352	NA	NA	NA	X	0,068411442715691	0,989713624290224	ENSG00000204952;ENSG00000064218;ENSG00000131951;ENSG00000187772;ENSG00000152763;ENSG00000066279;ENSG00000087916;ENSG00000188306;ENSG00000118193;ENSG00000124721;ENSG00000178125;ENSG00000151962;ENSG00000146857;ENSG00000092978;ENSG00000102384;ENSG00000054796;ENSG00000164675;ENSG00000136122	mmu_ts_m1_ca1;mmu_ts_m2_ca1;oan_ts_m3_ca1;oan_ts_m1_ca1;oan_ts_m2_ca1;gga_ts_m1_ca1;gga_ts_m2_ca1
